profile pic,nums/length username,fullname words,nums/length fullname,name==username,description length,external URL,private,#posts,#followers,#follows,fake
1,0.16,4,0.07,0,122,1,1,129,6661,765,0
0,0.69,0,0.3,1,4,0,1,2,56,515,1
1,0.17,3,0.03,0,120,1,0,176,9577,771,0
1,0.57,1,0.22,1,11,0,1,6,71,943,1
1,0.29,2,0.02,0,134,0,0,915,5033,973,0
1,0.15,2,0.06,0,27,1,0,630,8604,291,0
1,0.71,1,0.34,1,9,0,0,10,48,360,1
1,0.25,4,0.02,0,120,0,0,491,4726,413,0
0,0.95,1,0.36,1,16,0,0,14,31,1176,1
1,0.1,1,0.01,1,135,1,1,384,1422,263,0
0,0.81,0,0.47,1,0,0,0,10,49,523,1
1,0.18,4,0.03,0,66,0,0,837,4164,591,0
1,0.86,1,0.05,1,11,0,0,6,18,1675,1
0,0.67,0,0.44,1,11,0,1,15,95,506,1
0,0.94,0,0.26,1,2,0,1,3,46,1475,1
0,0.77,0,0.48,1,1,0,0,1,84,1965,1
1,0.02,4,0.06,1,120,0,0,189,7614,242,0
0,0.72,0,0.13,1,11,0,1,5,48,1987,1
1,0.25,4,0.1,0,31,0,1,86,375,264,0
1,0.19,2,0.08,0,24,0,1,700,6164,274,0
1,0.05,1,0.02,0,148,1,1,864,3884,530,0
1,0.14,4,0.06,1,124,1,1,430,2326,519,0
0,0.84,1,0.34,1,12,0,1,17,35,1940,1
0,0.92,0,0.05,1,18,1,1,14,34,939,1
1,0.17,2,0.07,0,27,0,0,433,2499,295,0
0,1.0,0,0.0,1,16,0,1,18,27,487,1
1,0.16,1,0.05,0,45,0,1,61,9591,764,0
1,0.2,2,0.06,1,118,0,0,230,2327,602,0
1,0.26,1,0.08,0,98,0,0,772,423,524,0
1,0.8,0,0.16,0,20,1,0,2,86,1291,1
0,0.84,0,0.4,1,5,0,0,16,31,125,1
1,0.02,2,0.05,0,144,0,0,475,4383,775,0
1,0.7,1,0.11,1,19,0,1,11,46,847,1
1,0.01,4,0.08,0,80,1,1,365,6810,469,0
1,0.23,3,0.08,0,35,0,1,202,1138,111,0
1,0.08,1,0.05,0,75,0,0,421,5185,763,0
1,0.88,1,0.03,1,3,0,1,9,75,734,1
1,0.69,1,0.15,1,0,0,1,3,51,1477,1
1,0.03,2,0.03,0,37,0,1,974,6780,370,0
1,0.25,2,0.04,0,73,1,1,454,4845,853,0
1,0.18,3,0.06,0,99,0,1,465,593,644,0
1,0.28,3,0.03,0,56,0,0,394,9396,972,0
0,0.62,0,0.15,0,20,0,0,7,15,484,1
1,0.94,1,0.39,1,13,0,1,15,81,1096,1
1,0.03,1,0.0,0,90,1,1,809,2705,749,0
0,0.84,1,0.36,1,15,0,1,2,38,1631,1
1,0.54,0,0.17,1,17,0,0,5,78,1514,1
1,0.13,3,0.08,0,147,1,1,519,5359,958,0
1,0.24,4,0.01,0,35,0,1,393,2927,180,0
1,0.68,1,0.19,1,9,0,0,6,85,1338,1
1,0.78,1,0.29,1,4,0,0,1,10,1506,1
0,0.57,1,0.45,1,16,1,1,6,81,892,1
1,0.51,0,0.03,0,8,0,0,17,24,875,1
0,0.62,1,0.29,1,14,0,1,3,73,743,1
0,0.63,1,0.14,1,20,0,0,15,78,1901,1
1,0.28,3,0.03,0,107,1,1,115,4683,389,0
1,0.27,3,0.05,0,84,1,1,738,3971,180,0
1,0.11,3,0.03,0,67,0,1,930,5770,377,0
1,0.05,2,0.02,0,139,0,1,659,2207,965,0
0,0.55,1,0.28,1,5,0,0,6,62,168,1
0,0.78,1,0.33,0,9,0,0,0,61,1618,1
1,0.22,4,0.08,0,21,1,1,949,8949,416,0
0,0.85,1,0.5,0,18,0,1,7,77,233,1
1,0.81,0,0.26,1,13,0,0,0,55,465,1
1,0.09,3,0.07,0,124,1,1,354,5750,398,0
1,0.25,1,0.03,1,49,1,1,802,9541,601,0
1,0.0,4,0.05,0,51,1,1,789,6388,242,0
1,0.03,3,0.03,0,46,0,1,905,3393,769,0
1,0.94,0,0.15,1,16,0,1,17,32,638,1
0,0.82,1,0.41,0,17,0,0,15,93,1087,1
0,0.85,0,0.23,1,20,0,0,15,75,131,1
0,0.66,1,0.25,1,0,0,0,17,80,1053,1
0,0.83,1,0.37,1,15,1,1,19,35,1309,1
1,0.15,4,0.05,0,132,0,0,828,3624,741,0
1,0.07,4,0.04,0,95,1,1,346,8640,216,0
1,0.05,1,0.03,0,87,0,0,90,1442,295,0
0,0.87,1,0.25,1,5,0,0,16,64,179,1
1,0.08,2,0.01,0,113,1,0,853,7212,373,0
1,0.79,0,0.11,0,16,0,1,0,15,1553,1
1,0.19,2,0.08,0,99,1,1,166,4866,371,0
1,0.09,1,0.1,0,72,0,1,692,9912,336,0
1,0.01,4,0.05,0,90,0,1,671,5625,665,0
0,0.71,0,0.08,1,6,0,0,7,92,1140,1
0,1.0,0,0.35,1,7,1,1,0,63,751,1
1,0.15,1,0.03,0,67,0,1,239,3794,829,0
0,0.78,0,0.32,1,20,0,0,13,15,678,1
0,0.71,0,0.38,0,3,0,1,4,31,1786,1
0,0.9,0,0.26,1,9,0,1,3,42,1041,1
0,0.67,0,0.26,1,19,0,1,1,54,301,1
1,0.2,4,0.05,0,110,0,1,954,4788,276,0
0,0.86,0,0.22,1,1,0,1,18,62,1404,1
1,0.05,4,0.02,0,83,0,1,255,5029,301,0
1,0.23,2,0.09,0,97,1,1,310,7603,386,0
0,0.8,1,0.25,1,7,0,1,11,98,660,1
1,0.6,1,0.23,1,5,0,0,5,63,471,1
1,0.09,1,0.07,0,123,0,1,418,3280,866,0
1,0.28,4,0.07,0,145,1,1,519,7106,555,0
1,0.16,3,0.06,0,113,1,1,168,8052,359,0
0,0.71,1,0.27,1,20,0,0,3,98,514,1
1,0.25,1,0.03,0,48,1,1,823,1967,261,0
1,0.05,3,0.07,0,139,1,0,144,5241,577,0
1,0.07,4,0.05,0,103,1,1,482,7192,836,0
1,0.08,1,0.06,0,55,1,1,342,9355,951,0
0,0.55,0,0.14,1,1,0,0,5,20,780,1
1,0.04,3,0.07,0,90,0,1,363,6727,811,0
1,0.17,2,0.03,1,48,0,1,605,2579,793,0
1,0.68,1,0.23,1,10,0,0,4,94,728,1
0,0.6,1,0.44,1,1,0,1,8,32,1858,1
1,0.03,1,0.05,0,32,0,1,745,1061,261,0
1,0.09,3,0.0,0,125,1,1,667,8673,933,0
0,0.62,0,0.14,1,2,0,0,5,82,471,1
0,0.97,1,0.34,0,16,0,1,12,24,1778,1
1,0.2,3,0.09,0,23,0,1,875,8987,189,0
0,0.77,1,0.09,1,0,0,0,17,100,1927,1
1,0.55,0,0.03,0,12,0,0,8,70,1054,1
1,0.12,3,0.09,0,86,1,1,930,921,164,0
1,0.29,3,0.06,0,22,1,1,547,5976,696,0
1,0.97,0,0.15,0,17,1,1,10,22,718,1
0,0.75,1,0.27,0,19,0,1,14,68,548,1
0,0.87,1,0.31,1,12,0,1,12,96,1375,1
1,0.14,2,0.03,1,142,0,0,369,5550,534,0
1,0.69,0,0.49,1,7,0,1,0,42,1217,1
0,0.83,1,0.09,1,2,0,0,10,97,1080,1
0,0.87,1,0.06,1,6,0,1,10,89,497,1
1,0.67,1,0.18,1,1,0,0,14,95,369,1
1,0.0,1,0.03,0,31,1,1,60,223,417,0
1,0.26,3,0.05,0,109,0,0,139,376,960,0
1,0.15,3,0.07,1,29,1,1,457,4511,324,0
1,0.2,1,0.09,0,134,1,1,336,5730,949,0
0,0.75,1,0.04,0,15,0,1,2,12,974,1
1,0.13,3,0.1,1,72,0,0,806,5530,118,0
1,0.05,1,0.06,0,123,0,0,52,1083,193,0
1,0.19,1,0.01,0,22,1,0,434,552,332,0
1,0.08,3,0.07,0,62,0,1,938,6493,460,0
0,0.78,0,0.41,1,20,0,1,18,24,508,1
1,0.17,1,0.06,0,54,0,0,221,5731,851,0
1,0.19,3,0.04,0,52,1,0,832,3495,632,0
0,0.7,1,0.3,0,8,0,0,12,50,1827,1
1,0.22,1,0.08,0,150,0,1,151,2219,672,0
0,0.99,0,0.33,1,2,0,0,20,18,660,1
0,0.68,0,0.48,1,10,0,1,19,86,1220,1
0,0.77,1,0.48,1,5,0,0,11,14,224,1
1,0.2,2,0.02,0,26,1,1,667,8696,623,0
1,0.21,4,0.04,0,99,0,0,489,2379,115,0
1,0.03,2,0.08,0,141,1,0,187,2006,611,0
1,0.21,4,0.03,0,142,0,1,76,3945,533,0
0,0.93,1,0.47,1,8,0,0,14,86,958,1
1,0.28,1,0.08,0,115,1,1,276,3704,397,0
1,0.95,0,0.48,0,5,0,0,1,72,893,1
1,0.14,2,0.04,0,124,0,1,103,4579,586,0
0,0.68,1,0.13,1,13,0,1,10,59,443,1
0,0.52,0,0.18,1,16,0,0,13,48,915,1
1,0.03,3,0.07,0,53,1,1,503,3197,166,0
1,0.19,2,0.09,0,140,1,1,126,6706,942,0
1,0.04,1,0.02,0,85,0,0,62,5012,356,0
0,0.8,1,0.43,1,6,0,0,10,81,1767,1
1,0.08,1,0.03,0,85,0,1,197,762,352,0
1,0.02,2,0.0,0,49,0,1,869,8956,830,0
0,0.72,1,0.04,1,18,1,1,13,29,1062,1
1,0.2,1,0.03,0,106,0,1,102,6874,861,0
0,0.76,0,0.42,1,4,0,0,8,12,1447,1
1,0.04,2,0.02,0,81,1,1,55,6386,576,0
0,0.88,0,0.35,0,8,1,0,11,74,394,1
1,0.02,3,0.03,0,89,1,0,180,3380,932,0
0,0.74,0,0.04,1,9,0,0,7,11,1366,1
1,0.23,1,0.06,1,68,0,1,801,7575,709,0
